Date,Open,High,Low,Close,Adj Close,Volume
2021-12-27,4150,4150,4070,4080,3559.583740,30748000
2021-12-28,4080,4130,4050,4090,3568.308350,39443300
2021-12-29,4100,4130,4080,4080,3559.583740,25596100
2021-12-30,4130,4130,4040,4040,3524.685791,50575100
2022-01-03,4060,4180,4050,4180,3646.828613,65937900
2022-01-04,4180,4200,4150,4170,3638.104004,42984700
2022-01-05,4150,4190,4030,4050,3533.410400,119584700
2022-01-06,4090,4120,4030,4120,3594.481689,89197500
2022-01-07,4120,4190,4090,4170,3638.104004,68415100
2022-01-10,4180,4190,4100,4100,3577.032715,44921200
2022-01-11,4120,4160,4090,4090,3568.308350,61890200
2022-01-12,4110,4140,4070,4110,3585.757080,45132700
2022-01-13,4170,4180,4110,4180,3646.828613,84148400
2022-01-14,4140,4190,4130,4190,3655.552979,28193100
2022-01-17,4200,4200,4140,4180,3646.828613,39816300
2022-01-18,4200,4250,4160,4250,3707.899902,112212200
2022-01-19,4260,4260,4230,4250,3707.899902,88713900
2022-01-20,4300,4300,4190,4220,3681.726318,100014500
2022-01-21,4240,4330,4190,4330,3777.695313,75534800
2022-01-24,4260,4310,4250,4300,3751.521973,70404500
2022-01-25,4310,4320,4250,4290,3742.797607,116353600
2022-01-26,4380,4390,4290,4390,3830.042480,127641400
2022-01-27,4400,4400,4260,4270,3725.348877,98613900
2022-01-28,4260,4300,4230,4260,3716.624268,61686700
2022-01-31,4210,4250,4190,4190,3655.552979,88735900
2022-02-02,4170,4200,4150,4170,3638.104004,144006000
2022-02-03,4200,4210,4160,4200,3664.277344,58212400
2022-02-04,4260,4260,4180,4230,3690.450684,98728700
2022-02-07,4230,4290,4210,4290,3742.797607,90285800
2022-02-08,4280,4280,4230,4230,3690.450684,71210400
2022-02-09,4280,4280,4210,4280,3734.073486,95375000
2022-02-10,4400,4470,4340,4460,3891.113525,233984700
2022-02-11,4500,4550,4410,4450,3882.389160,130081900
2022-02-14,4380,4400,4310,4400,3838.766602,104903700
2022-02-15,4400,4440,4360,4410,3847.491211,75305900
2022-02-16,4420,4460,4380,4400,3838.766602,90121200
2022-02-17,4400,4440,4360,4410,3847.491211,72970200
2022-02-18,4420,4440,4370,4400,3838.766602,71111300
2022-02-21,4370,4420,4340,4370,3812.593506,58883000
2022-02-22,4320,4360,4250,4300,3751.521973,106985800
2022-02-23,4280,4370,4270,4350,3795.144531,110562400
2022-02-24,4280,4320,4200,4240,3699.175293,126158600
2022-02-25,4240,4350,4240,4340,3786.419922,208757000
2022-03-01,4640,4650,4350,4350,3795.144531,206416900
2022-03-02,4400,4400,4270,4290,3742.797607,152165300
2022-03-04,4440,4440,4300,4400,3838.766602,155369100
2022-03-07,4400,4530,4370,4510,3934.735840,177360400
2022-03-08,4600,4700,4540,4620,4030.705078,234086000
2022-03-09,4550,4620,4420,4440,3873.664551,145145900
2022-03-10,4500,4500,4380,4410,3847.491211,130830800
